id,little,ring,middle,index,thumb
0,293,341,387,424,520
1,272,346,416,416,515
2,302,346,381,416,526
3,319,361,373,437,523
4,300,341,388,434,521
5,299,339,390,436,521
6,301,337,391,436,516
7,302,338,392,447,525
8,320,342,387,428,516
9,286,353,389,428,521
10,307,338,397,438,522
11,302,344,396,439,522
12,305,344,404,439,521
13,308,333,398,456,527
14,311,354,410,445,528
15,299,337,412,443,523
16,296,343,406,445,523
17,301,345,410,440,521
18,298,343,407,445,524
19,296,343,397,440,521
20,312,350,377,438,538
21,327,337,389,453,530
22,310,357,418,455,519
23,307,346,414,447,523
24,306,353,420,448,523
25,306,347,417,451,527
26,301,332,425,464,523
27,314,356,420,430,527
28,306,334,432,462,521
29,313,351,422,450,524
30,307,352,420,447,524
31,305,348,428,451,526
32,312,362,423,433,522
33,324,346,411,450,518
34,319,346,413,461,527
35,316,349,418,452,523
36,311,351,424,449,524
37,313,353,422,452,524
38,322,354,421,449,528
39,321,339,425,465,523
40,308,353,429,456,526
41,319,354,432,447,525
42,313,352,421,447,525
43,314,353,421,449,523
44,304,347,433,450,516
45,319,355,412,438,530
46,301,347,411,453,534
47,299,342,422,447,526
48,314,352,424,453,524
49,314,352,427,451,523
50,316,348,435,451,523
51,305,355,441,446,520
52,324,362,425,438,529
53,294,357,433,446,519
54,314,353,428,452,523
55,312,356,426,450,522
56,309,354,418,447,522
57,314,350,411,441,525
58,305,343,434,455,522
59,314,352,430,450,522
60,311,354,425,450,524
61,317,353,430,450,523
62,316,355,431,450,523
63,316,355,425,458,524
64,319,352,437,459,519
65,328,347,430,453,523
66,321,356,433,448,524
67,312,354,431,449,524
68,313,354,425,452,523
69,329,351,414,456,523
70,320,358,431,440,523
71,318,353,415,468,522
72,313,370,432,450,522
73,314,355,430,454,524
74,319,358,432,455,523
75,316,360,433,460,520
76,318,370,442,450,524
77,322,361,442,439,522
78,309,351,436,460,516
79,317,357,431,454,523
80,315,354,430,451,522
81,315,361,431,449,526
82,316,341,422,469,525
83,322,347,426,456,521
84,325,356,417,444,529
85,316,353,433,457,524
86,316,357,432,451,523
87,316,361,433,451,522
88,312,356,432,450,518
