id,index,middle,ring,little,thumb
0,546,540,562,526,402
1,569,536,554,540,407
2,565,538,546,526,417
3,564,533,552,535,418
4,561,534,551,534,415
5,562,528,551,533,418
6,563,538,552,531,416
7,556,534,550,532,406
8,568,533,543,535,418
9,561,539,552,522,422
10,563,532,553,533,421
11,562,531,552,530,417
12,565,538,549,547,400
13,565,537,555,524,431
14,563,528,565,530,411
15,556,533,554,540,419
16,561,530,550,537,414
17,561,531,550,535,420
18,565,531,550,535,418
19,560,524,558,550,420
20,566,546,553,517,415
21,563,536,548,536,424
22,564,532,560,542,421
23,561,531,549,539,420
24,561,532,547,538,419
25,562,540,552,546,407
26,579,545,539,530,418
27,558,532,540,536,410
28,548,523,552,550,424
29,558,535,546,534,416
30,557,534,545,537,420
31,557,533,548,536,424
32,555,528,557,530,422
33,555,530,542,519,422
34,556,527,547,563,429
35,562,533,552,546,414
36,560,535,548,536,417
37,559,533,548,539,422
38,560,517,548,537,424
39,560,539,537,518,419
40,564,530,544,548,429
41,558,532,555,545,417
42,559,533,549,543,417
43,558,536,545,537,417
44,559,532,547,536,411
45,562,529,541,539,420
46,564,528,547,549,427
47,552,520,554,550,419
48,560,539,546,539,417
49,562,531,551,542,421
50,561,533,549,539,422
51,552,542,551,542,407
52,553,528,546,538,413
53,560,524,541,549,427
54,557,543,554,544,425
55,555,529,544,543,417
56,560,530,547,539,421
57,567,530,550,539,418
58,554,521,554,541,430
59,562,533,540,532,422
60,572,532,540,552,429
61,560,529,551,540,424
62,560,534,548,537,420
63,560,533,546,539,421
64,562,532,550,543,418
65,549,534,560,551,422
66,553,523,555,535,426
67,554,529,550,546,411
68,558,532,548,542,417
69,559,535,545,539,418
70,556,531,550,550,417
71,556,533,549,542,415
72,558,526,548,534,422
73,565,538,547,539,414
74,561,528,551,527,418
75,561,536,548,538,418
76,561,533,547,540,422
77,568,532,545,535,426
78,562,540,553,537,418
79,564,545,542,548,416
80,556,524,543,554,419
81,561,533,547,540,422
82,557,532,545,538,420
83,556,536,550,536,420
84,569,522,543,548,431
85,546,527,551,540,416
86,553,531,550,540,414
87,563,534,546,529,425
88,563,535,546,538,422
89,560,533,547,538,422
90,559,527,545,534,424
