id,little,ring,middle,index,thumb
0,439,386,445,479,479
1,442,386,449,478,477
2,446,384,451,477,477
3,447,377,458,471,479
4,460,393,430,456,483
5,438,398,467,469,457
6,435,382,450,480,472
7,436,380,454,478,472
8,437,379,449,476,473
9,444,384,449,478,473
10,445,380,450,493,469
11,444,394,451,466,461
12,437,397,462,471,468
13,443,392,451,485,467
14,438,384,448,479,475
15,443,384,453,482,477
16,447,391,442,482,478
17,429,387,460,472,478
18,430,377,465,482,474
19,449,375,439,493,482
20,448,379,441,480,467
21,439,383,452,479,474
22,438,384,450,481,474
23,439,384,447,476,474
24,435,382,451,473,455
25,442,397,440,467,475
26,422,387,438,473,477
27,433,387,442,487,472
28,442,383,447,481,475
29,439,384,451,480,474
30,438,383,456,488,465
31,447,383,458,485,471
32,428,383,466,483,469
33,437,384,449,482,475
34,441,384,443,478,465
35,439,382,447,479,457
36,436,383,447,478,448
37,438,392,450,476,440
38,438,376,448,473,430
39,424,382,471,486,422
40,447,386,438,463,426
41,444,390,451,479,430
42,446,385,451,477,432
43,448,387,459,480,438
44,447,389,458,481,435
45,444,404,462,468,435
46,429,406,463,482,418
47,444,388,453,465,435
48,445,388,450,481,437
49,443,388,449,475,434
50,443,385,451,480,439
51,442,384,444,478,442
52,462,396,438,475,445
53,436,375,469,473,431
54,443,384,446,474,443
55,449,391,449,482,442
56,447,390,452,480,440
57,444,394,462,472,432
58,458,395,450,474,448
59,442,393,449,489,449
60,449,375,462,491,448
61,450,389,458,482,439
62,445,391,449,478,441
63,444,388,449,480,440
64,437,383,443,475,453
65,445,391,429,476,452
66,438,397,459,482,443
67,439,380,454,491,443
68,441,389,450,480,440
69,443,391,450,484,441
70,446,392,453,481,440
71,438,390,460,491,436
72,436,384,452,494,441
73,450,386,439,477,428
74,428,406,467,481,437
75,444,388,453,482,439
76,445,394,450,481,439
77,441,393,449,481,448
78,442,388,453,483,439
79,449,395,439,472,435
80,459,409,442,464,440
81,437,390,447,477,431
82,444,390,450,483,445
83,429,392,456,484,442
84,409,378,457,479,436
85,416,380,451,478,432
86,423,390,438,477,443
87,430,394,440,473,444
88,421,376,432,478,436
89,423,383,436,474,439
90,423,384,437,477,437
91,422,390,446,472,430
92,422,396,445,480,441
93,426,381,440,476,433
94,417,386,435,473,437
95,418,383,443,484,443
96,427,388,445,478,438
97,428,387,444,480,438
98,436,385,441,481,444
99,420,389,454,481,428
100,416,403,459,475,457
101,423,378,451,486,448
102,425,388,445,479,439
103,426,385,445,482,441
104,424,387,442,482,434
105,427,387,444,482,441
106,455,403,427,479,454
107,437,381,443,483,441
108,406,386,444,483,446
109,428,385,445,483,439
110,427,388,448,483,440
111,428,388,441,485,445
112,425,381,444,475,440
113,439,392,441,483,449
114,419,367,441,485,439
115,432,391,435,482,442
116,423,383,446,482,436
117,428,387,445,480,438
118,423,392,449,481,437
119,422,390,448,467,436
120,413,384,443,500,433
121,456,383,436,487,449
122,421,389,440,489,440
123,423,385,449,483,441
124,427,390,448,482,438
125,428,394,443,481,439
126,430,391,454,477,445
127,420,394,453,480,440
128,430,385,433,495,448
129,427,397,439,477,440
130,425,389,448,483,435
131,425,387,447,481,438
132,426,383,445,485,443
133,411,379,455,499,434
134,413,393,459,475,432
135,415,388,432,486,436
136,427,386,444,481,441
137,423,390,449,482,437
138,426,390,450,484,440
139,427,380,447,496,443
140,429,399,452,489,436
141,432,387,443,481,441
142,416,382,443,483,440
143,426,390,452,485,438
144,422,387,445,485,439
145,423,388,447,482,429
146,431,401,441,484,439
147,445,389,420,478,447
148,430,397,451,490,437
149,421,390,437,474,438
150,423,387,448,482,437
151,426,392,450,483,437
152,425,389,447,484,440
153,428,398,460,475,438
154,445,392,439,483,450
155,426,409,442,474,434
156,427,394,460,479,428
157,424,387,449,484,437
158,422,388,444,480,436
159,423,390,448,486,437
160,426,395,455,478,432
161,427,379,455,490,431
162,413,388,461,489,433
163,413,394,455,491,447
164,422,390,448,484,436
165,426,391,449,483,437
166,428,387,457,487,439
167,436,390,447,492,441
168,414,384,462,477,425
169,415,369,461,487,439
170,436,386,449,477,439
171,420,389,450,485,438
172,423,389,445,481,434
173,422,397,455,476,438
174,425,399,460,478,426
175,418,382,462,494,426
176,423,404,440,480,436
177,433,400,452,480,436
178,430,390,446,481,437
179,423,391,450,484,437
180,425,399,466,484,436
181,427,388,442,478,445
182,427,402,437,471,444
183,417,384,440,487,429
184,426,384,454,485,429
185,424,391,449,483,436
186,421,387,450,483,436
187,418,385,458,482,434
188,413,381,444,498,444
189,419,399,434,476,448
190,430,391,437,483,447
191,424,391,450,484,440
192,423,388,449,485,436
193,426,391,453,484,437
194,422,394,456,491,440
195,406,403,469,485,424
196,418,389,452,494,443
197,419,375,447,488,436
198,418,386,450,483,433
199,418,390,451,482,436
200,422,390,449,486,431
201,423,384,453,487,443
202,444,407,447,476,447
203,426,388,446,484,430
204,432,388,452,495,441
205,428,394,451,482,437
206,426,389,449,484,436
207,425,391,456,480,441
208,418,401,458,476,439
209,420,372,447,494,434
210,411,389,456,484,421
211,421,385,447,487,428
212,424,388,449,487,433
213,423,392,447,487,433
214,424,391,446,485,431
215,413,391,448,489,440
216,428,405,452,479,436
217,399,391,451,491,431
218,426,403,445,477,439
219,422,389,450,486,435
220,426,391,454,489,436
221,421,393,456,477,443
222,432,401,460,479,448
223,419,392,451,491,439
224,439,401,438,491,448
225,417,379,433,468,437
226,400,375,409,446,438
227,412,372,404,438,440
228,407,373,403,430,443
229,430,363,398,446,443
230,405,373,429,450,434
231,401,371,416,450,436
232,406,372,414,446,447
233,410,376,411,445,439
234,408,380,418,446,443
235,411,375,424,448,443
236,428,374,418,451,435
237,414,381,422,444,445
238,397,385,421,444,427
239,414,388,426,454,437
240,416,383,427,452,435
241,413,376,425,451,433
242,412,383,421,451,435
243,423,375,429,462,441
244,420,372,421,462,437
245,417,389,413,450,436
246,414,376,436,455,431
247,418,385,433,455,432
248,416,385,432,456,432
249,402,383,432,463,429
250,422,384,431,466,436
251,415,376,436,468,432
252,435,389,431,443,442
253,407,387,437,463,437
254,412,385,434,458,432
255,416,382,430,456,432
256,418,393,430,451,440
257,397,392,443,451,426
258,406,394,438,445,426
259,407,383,433,458,436
260,429,384,433,454,419
261,415,387,436,460,437
262,414,382,434,459,433
263,414,386,440,460,428
264,423,389,427,452,441
265,411,386,439,464,443
266,405,400,449,445,414
267,415,386,423,459,442
268,410,384,437,459,433
269,412,387,435,457,436
270,414,382,432,461,438
271,402,391,450,457,433
272,409,385,436,452,429
273,424,389,440,458,439
274,412,382,428,467,440
275,414,382,435,460,432
276,413,386,438,460,435
277,416,392,440,465,433
278,428,385,432,464,444
279,417,389,436,449,444
280,420,390,412,468,444
281,411,378,426,458,441
282,415,387,437,460,434
283,410,384,432,463,432
284,413,386,436,460,431
285,410,389,426,463,438
286,441,379,420,468,448
287,430,394,425,453,452
288,416,378,432,454,433
289,414,392,439,462,436
290,415,388,439,463,435
291,410,386,442,462,434
292,421,393,440,455,442
293,426,401,442,459,436
294,399,385,439,463,439
295,402,387,449,469,421
296,414,386,432,459,435
297,408,383,439,460,434
298,407,386,439,457,431
299,398,386,436,464,426
300,417,377,427,474,431
301,408,388,443,460,432
302,399,378,445,475,438
303,402,383,438,461,435
304,405,388,443,460,433
305,409,388,440,457,425
306,404,397,451,453,423
307,389,381,445,469,436
308,399,409,437,462,426
309,412,387,438,445,427
310,408,388,433,453,429
311,408,389,436,462,432
312,406,385,437,456,431
313,409,387,440,461,429
314,431,375,419,465,437
315,425,398,422,444,437
316,396,379,439,470,437
317,409,388,441,465,434
318,410,388,438,461,436
319,412,388,440,463,442
320,401,382,442,472,434
321,409,400,428,445,437
322,403,405,447,449,424
323,395,377,439,465,423
324,414,389,440,462,433
325,410,386,437,461,434
326,406,386,438,461,429
327,403,383,433,480,426
328,405,375,430,472,441
329,404,398,434,454,441
330,411,406,434,456,432
331,405,385,433,457,435
332,412,389,436,463,436
333,409,387,439,463,435
334,407,387,443,464,440
335,401,387,465,470,414
336,391,380,455,473,423
337,409,382,452,460,436
338,411,380,434,463,433
339,405,389,438,462,432
340,405,387,436,462,432
341,402,389,438,463,427
342,400,377,428,456,442
343,410,382,434,471,438
344,402,375,455,473,430
345,416,391,440,462,431
346,411,391,442,462,432
347,409,389,442,466,434
348,414,384,428,470,440
349,415,372,430,464,440
350,429,388,427,466,434
351,414,390,431,441,435
352,400,387,431,463,436
353,401,384,439,468,432
354,400,387,438,464,432
355,400,384,432,476,429
356,406,409,444,454,417
357,402,382,443,458,426
358,398,390,452,456,431
359,387,386,445,463,436
360,402,389,440,467,438
361,402,389,440,466,435
362,405,389,443,462,437
363,414,391,450,478,424
364,396,398,453,453,426
365,411,390,444,463,438
366,403,394,448,471,431
367,401,390,441,463,431
368,402,387,440,462,434
