id,little,ring,middle,index,thumb
0,424,424,486,553,477
1,422,426,482,555,481
2,417,426,483,553,478
3,427,428,485,563,478
4,426,423,470,571,503
5,409,421,469,555,486
6,423,436,470,559,489
7,431,428,475,549,463
8,422,427,485,552,483
9,420,427,490,557,481
10,419,430,491,552,474
11,412,421,484,558,485
12,421,433,467,565,488
13,412,448,497,543,459
14,406,423,498,553,474
15,418,423,487,552,478
16,415,428,484,557,479
17,419,426,487,554,476
18,432,419,468,558,479
19,413,420,472,563,500
20,423,417,482,556,475
21,410,423,473,557,476
22,416,437,486,552,480
23,422,427,483,554,479
24,424,430,488,552,480
25,414,424,493,552,483
26,429,429,470,552,485
27,386,424,506,552,457
28,413,445,478,553,476
29,428,415,478,547,486
30,416,425,486,559,476
31,413,425,488,554,479
32,418,424,483,555,479
33,416,422,475,567,490
34,438,436,451,540,501
35,401,427,487,565,471
36,425,422,494,555,482
37,433,423,508,554,483
38,423,427,490,557,480
39,421,429,485,557,481
40,425,424,492,556,480
41,400,421,494,555,473
42,432,437,480,551,486
43,405,448,507,541,461
44,416,423,494,552,487
45,415,424,482,551,472
46,419,422,487,554,475
47,420,427,484,556,477
48,402,427,487,550,473
49,433,414,466,563,472
50,398,419,490,562,481
51,443,430,474,550,490
52,423,431,484,560,481
53,418,429,488,554,478
54,421,428,487,555,480
55,417,427,495,557,484
56,409,420,499,547,462
57,400,425,513,549,474
58,398,408,511,574,474
59,408,416,485,560,491
60,416,426,485,554,478
61,415,427,484,555,477
62,418,426,485,560,471
63,427,426,474,561,491
64,406,434,479,553,488
65,433,446,464,558,478
66,403,443,495,552,469
67,429,433,490,557,472
68,418,425,487,557,479
69,419,428,490,555,477
70,417,430,483,546,487
71,419,429,491,554,480
72,418,425,489,562,461
73,426,414,495,541,479
74,410,419,467,541,465
75,411,428,488,553,475
76,415,428,485,554,475
77,416,435,483,558,475
78,404,430,492,564,480
79,434,455,470,556,494
80,426,415,467,556,481
81,439,414,472,551,484
82,426,433,488,556,476
83,413,425,488,558,476
84,417,426,490,559,477
85,428,416,487,552,471
86,426,438,485,546,465
87,450,419,480,554,475
88,429,425,476,560,468
89,424,418,483,553,487
90,419,426,481,556,478
91,419,427,482,555,473
92,417,422,482,556,470
93,405,438,506,546,468
94,415,420,489,557,466
95,429,426,482,566,460
96,434,429,477,548,478
97,415,426,495,560,483
98,417,429,484,556,479
99,415,427,489,556,476
100,425,427,470,550,477
101,426,419,477,569,497
102,430,429,463,548,489
103,416,417,496,556,467
104,420,428,480,555,475
105,417,430,490,552,476
106,415,421,485,555,474
107,417,429,490,553,487
108,431,438,480,545,472
109,413,432,478,556,478
110,405,437,486,551,449
111,408,426,490,573,480
112,414,428,490,556,477
113,414,425,491,557,475
114,418,426,486,560,478
115,414,411,499,565,470
116,415,421,481,555,487
117,421,431,494,539,474
118,414,424,477,556,484
119,407,428,482,553,467
120,413,426,484,555,473
121,412,425,483,555,474
122,414,425,478,549,462
123,405,424,492,541,469
124,423,444,481,543,473
125,408,441,502,545,462
126,418,424,489,548,478
127,417,431,486,556,480
128,419,428,486,555,478
129,417,427,485,553,470
130,416,432,474,546,501
131,417,441,491,541,485
132,408,438,509,544,465
133,414,431,485,570,469
134,417,431,487,557,472
135,412,428,491,553,474
136,415,425,481,554,472
137,407,422,488,543,468
138,410,421,468,546,487
139,392,430,486,554,480
140,417,408,489,555,477
141,399,416,488,554,472
142,415,428,487,559,473
143,421,425,485,556,474
144,412,412,485,559,473
145,419,436,496,550,482
146,410,441,478,560,489
147,433,430,489,544,492
148,411,424,504,568,478
149,412,424,491,554,472
150,411,429,487,553,473
151,414,427,486,555,472
152,398,435,488,558,480
153,402,444,495,555,466
154,410,443,475,539,483
155,403,418,479,560,468
156,400,416,482,557,478
157,418,432,482,553,474
158,416,428,488,558,474
159,419,430,481,558,472
160,403,436,496,544,476
161,418,431,501,544,471
162,404,425,501,548,458
163,409,419,483,562,486
164,412,432,491,556,475
165,412,426,480,557,477
166,416,426,485,552,473
167,421,438,474,553,476
168,435,415,475,551,480
169,417,427,493,550,458
170,406,436,478,556,472
171,409,431,493,558,481
172,424,429,481,555,473
173,418,427,487,559,475
174,423,429,498,545,479
175,405,426,480,550,471
176,421,429,467,557,491
177,410,422,489,539,477
178,417,425,487,571,467
179,410,423,485,549,472
180,418,422,485,557,473
181,414,423,488,547,474
182,418,438,478,541,472
183,398,432,497,552,460
184,416,419,479,563,492
185,419,443,473,547,477
186,408,420,488,559,478
187,413,429,490,557,471
188,416,427,487,559,473
189,419,432,480,551,476
190,429,432,510,562,460
191,418,425,501,562,470
192,427,421,489,552,486
193,411,425,476,547,460
194,411,422,482,558,470
195,414,426,481,551,470
196,416,430,481,553,472
197,412,444,480,547,474
198,405,429,485,544,460
199,414,436,493,553,479
200,410,430,481,569,474
201,408,425,488,556,471
202,417,425,487,562,471
203,415,430,488,556,471
204,419,424,489,559,479
205,396,423,522,554,458
206,422,443,477,561,462
207,393,425,503,556,469
208,406,411,488,559,474
209,412,428,480,555,468
210,410,424,482,553,467
211,409,435,483,573,477
212,415,429,478,559,482
213,430,401,485,572,464
214,415,408,463,568,482
215,406,430,498,569,475
216,419,431,487,554,475
217,410,424,487,554,472
218,415,429,491,557,468
219,428,433,464,563,480
220,451,428,465,543,490
221,413,428,490,558,468
222,402,415,496,571,477
223,396,419,488,556,472
224,414,423,483,555,465
225,413,427,484,556,469
226,408,428,477,563,467
227,438,436,475,539,479
228,399,429,500,546,452
229,441,418,480,559,498
230,433,423,500,560,470
231,413,426,487,555,466
232,413,429,487,558,469
233,424,431,491,547,469
234,411,424,493,555,457
235,418,416,499,557,470
236,420,417,481,564,467
237,409,416,517,555,462
238,414,423,486,556,466
239,407,426,486,554,469
240,416,424,483,556,473
241,439,421,476,558,481
242,388,413,515,563,444
243,406,419,494,558,475
244,394,434,493,557,462
245,403,416,483,555,466
246,419,425,482,559,471
247,416,428,489,554,469
248,411,419,501,559,464
249,423,429,498,564,464
250,420,439,484,562,463
251,417,427,493,559,456
252,403,413,479,557,469
253,410,427,482,554,465
254,403,424,485,557,462
255,412,425,491,556,460
