id,little,ring,middle,index,thumb
0,350,360,397,411,988
1,352,355,390,410,1007
2,351,359,390,406,1004
3,351,361,394,408,1005
4,350,360,394,408,1000
5,347,360,392,408,1004
6,348,363,395,411,988
7,348,362,398,414,978
8,353,361,396,409,1005
9,352,365,398,410,1004
10,352,363,397,410,1001
11,352,366,397,410,1003
12,350,363,393,409,986
13,356,365,398,410,1004
14,345,359,392,410,985
15,349,362,395,413,999
16,351,355,395,411,1004
17,356,350,393,414,1004
18,363,351,398,414,987
19,367,362,388,415,999
20,365,360,389,423,1002
21,363,360,384,420,949
22,375,369,374,425,516
23,373,386,372,428,500
24,368,388,374,432,512
25,375,400,368,459,470
26,363,390,396,465,471
27,343,381,405,474,474
28,348,360,396,479,492
29,360,354,372,447,507
30,367,369,364,444,849
31,367,369,358,441,989
32,369,374,363,441,965
33,371,370,368,429,952
34,376,380,376,408,540
35,369,379,375,406,1013
36,371,373,374,393,540
37,371,371,370,388,537
38,370,372,366,394,561
39,369,370,364,398,550
40,365,371,363,403,553
41,368,372,369,405,544
42,366,371,368,402,546
43,366,372,369,404,546
44,366,371,369,403,548
45,367,370,365,408,544
46,368,372,369,403,533
47,362,372,380,402,542
48,363,371,375,405,552
49,363,372,374,404,547
50,362,371,373,404,548
51,362,369,373,406,546
52,362,371,374,406,542
53,360,370,375,403,542
54,366,366,375,408,551
55,360,372,372,404,550
56,361,370,374,405,547
57,359,371,376,405,546
58,355,369,381,407,543
59,350,369,379,397,540
60,352,371,375,403,558
61,335,368,380,405,541
62,330,367,379,399,540
63,327,367,380,399,542
64,328,365,383,402,541
65,325,364,382,400,534
66,330,365,384,402,543
67,326,361,381,400,520
68,326,365,382,398,531
69,332,364,382,401,538
70,332,365,384,400,538
71,330,364,384,402,543
72,332,363,384,395,549
73,334,365,388,397,543
74,332,365,388,405,542
75,338,366,388,399,543
76,335,366,388,401,546
77,334,366,388,401,548
78,338,361,390,403,548
79,331,365,386,406,561
80,334,367,387,403,547
81,336,364,389,398,555
82,334,367,388,401,549
83,335,367,389,400,546
84,335,367,390,404,544
85,334,369,390,399,553
86,341,373,387,400,550
87,330,367,389,411,553
88,337,360,386,399,539
89,336,367,389,401,549
90,336,367,389,401,551
91,337,367,390,403,559
92,335,368,391,400,545
93,338,367,387,402,553
94,327,366,391,401,540
95,332,364,392,401,552
96,336,366,388,400,548
97,336,366,389,400,549
98,336,363,386,405,546
99,339,362,389,399,539
100,338,371,387,396,555
101,339,364,390,400,551
102,335,366,389,400,550
103,336,365,391,401,555
104,338,367,391,402,552
105,334,366,393,400,564
106,337,370,390,397,556
107,340,360,395,405,553
108,335,364,388,398,549
109,336,366,390,400,554
110,336,366,391,399,550
111,335,364,391,398,555
112,338,366,386,399,565
113,339,364,388,402,561
114,340,370,390,397,548
115,336,365,391,401,553
116,337,365,391,400,552
117,337,365,392,402,550
118,338,367,391,398,557
119,341,361,385,402,553
120,336,363,391,394,557
121,334,366,393,398,558
122,333,358,389,394,549
123,338,365,387,394,552
124,336,366,389,395,547
125,333,366,389,397,567
126,327,366,393,397,541
127,336,367,390,398,564
128,331,364,392,397,551
129,334,365,391,399,559
130,334,365,390,400,556
131,336,367,389,398,560
132,333,363,393,397,538
133,340,365,392,390,554
134,332,363,386,395,553
135,336,368,388,392,553
136,334,366,387,396,553
137,335,367,385,394,555
138,330,362,387,396,544
139,334,370,386,393,553
140,336,365,387,396,549
141,335,371,387,394,560
142,336,367,389,396,552
143,336,366,390,397,555
144,334,368,393,395,549
145,336,364,387,399,567
146,339,362,390,400,560
147,340,363,389,399,565
148,327,356,391,398,549
149,334,362,391,401,553
150,334,363,391,401,554
151,338,360,387,405,565
152,333,366,395,402,553
153,329,362,400,406,546
154,334,360,394,400,559
155,337,363,391,401,556
156,336,364,392,402,555
157,336,365,392,402,552
