id,little,ring,middle,index,thumb
0,416,455,537,568,486
1,429,457,520,568,490
2,429,459,520,568,490
3,430,459,516,568,491
4,438,460,503,564,493
5,449,461,501,568,494
6,433,458,510,568,494
7,421,458,524,570,487
8,430,457,518,567,489
9,429,458,518,567,489
10,430,456,518,567,490
11,416,460,527,570,486
12,420,459,529,570,481
13,432,461,520,568,489
14,422,460,530,572,484
15,430,458,521,569,492
16,430,458,522,569,491
17,431,454,524,572,490
18,430,454,525,575,492
19,449,458,511,566,498
20,436,453,507,567,496
21,426,460,527,558,489
22,429,458,521,568,491
23,428,457,520,567,491
24,430,453,515,574,490
25,422,454,528,568,481
26,429,459,526,566,488
27,425,455,527,574,488
28,438,456,521,569,492
29,431,458,523,569,492
30,432,458,524,568,493
31,427,465,536,560,485
32,427,468,522,566,494
33,441,461,516,560,491
34,435,462,515,566,493
35,430,457,522,568,492
36,430,457,523,568,491
37,428,456,521,568,486
38,416,460,534,562,488
39,430,444,522,574,489
40,416,459,537,580,485
41,433,448,509,571,500
42,432,458,521,569,492
43,431,458,522,569,493
44,420,456,524,569,491
45,424,466,520,564,490
46,435,454,518,573,493
47,447,470,531,565,495
48,441,457,524,572,492
49,429,457,524,568,492
50,429,456,523,568,492
51,430,452,516,566,497
52,446,455,520,559,491
53,427,452,520,570,496
54,445,455,521,567,492
55,436,460,524,569,493
56,432,458,523,569,494
57,433,458,524,570,493
58,441,456,519,563,500
59,416,469,523,571,494
60,422,453,530,576,498
61,431,460,528,567,490
62,431,457,522,569,493
63,429,457,523,568,492
64,430,457,524,572,488
65,420,458,540,563,490
66,411,453,521,566,488
67,425,451,531,582,493
68,434,469,525,559,490
69,431,458,523,569,493
70,433,458,524,570,494
71,429,460,527,568,498
72,426,462,526,574,493
73,423,464,533,572,491
74,431,462,524,588,496
75,437,448,525,568,493
76,430,457,522,568,492
77,430,457,519,568,493
78,426,451,517,576,495
79,445,467,509,568,497
80,429,445,512,571,503
81,435,468,513,563,491
82,432,459,521,569,493
83,433,459,521,569,494
84,434,458,521,566,497
85,435,453,532,570,488
86,443,459,512,571,500
87,416,462,528,571,491
88,438,465,519,555,488
89,431,457,520,569,493
90,431,457,519,568,492
91,436,454,526,567,492
92,436,460,529,579,488
93,421,462,530,572,488
94,434,457,521,578,488
95,429,463,518,567,494
96,434,459,518,569,494
97,434,459,519,569,494
98,431,462,523,565,489
99,446,457,520,574,500
100,426,453,523,577,494
101,424,461,526,568,483
102,432,458,518,569,493
103,433,458,519,568,493
104,432,457,517,568,493
105,432,447,514,564,496
106,430,462,526,561,491
107,443,463,512,565,492
108,431,451,512,571,504
109,434,458,520,570,494
110,435,459,520,570,494
111,435,461,519,571,496
112,436,463,523,568,500
113,452,460,518,569,494
114,435,455,511,576,496
115,425,456,515,563,494
116,434,458,518,569,493
117,434,458,518,568,493
118,435,457,516,560,497
119,440,454,507,579,503
120,443,455,508,566,497
121,433,454,516,572,487
122,438,459,520,569,494
123,435,459,521,569,494
124,436,460,521,570,494
125,441,466,513,555,491
126,458,453,508,564,500
127,438,449,507,577,502
128,430,472,531,575,482
129,434,458,519,569,493
130,434,457,519,568,493
131,432,455,513,567,493
132,428,454,516,570,489
133,445,456,509,566,496
134,429,460,501,564,496
135,441,455,522,564,491
136,435,459,520,569,494
137,435,460,522,570,494
138,438,460,525,572,497
139,440,451,521,580,494
140,445,464,517,562,497
141,449,455,503,570,499
142,427,458,519,568,494
143,432,457,519,567,493
144,431,457,519,567,493
145,439,448,512,568,496
146,421,458,527,566,493
147,442,467,513,554,490
148,423,455,523,569,495
149,431,459,524,569,494
150,429,457,527,569,495
151,430,457,521,566,495
152,432,461,525,568,500
153,426,464,534,567,488
154,432,471,539,565,488
155,445,454,524,568,490
156,432,458,522,568,494
157,432,457,523,567,493
158,437,458,519,566,497
159,426,451,519,563,484
160,429,459,526,567,496
161,439,456,515,567,504
162,437,452,526,569,495
163,433,459,522,570,495
164,436,459,522,571,494
165,422,451,533,578,502
166,428,459,535,569,489
167,440,463,528,559,485
168,443,458,532,567,495
169,433,458,525,568,494
170,433,458,524,568,493
171,433,458,523,571,492
172,451,467,519,559,493
173,434,451,528,575,493
174,431,462,536,572,490
175,437,460,527,584,493
176,434,459,527,570,495
177,435,459,527,570,495
178,433,461,524,569,495
179,443,461,523,575,496
180,437,461,522,567,498
181,428,469,535,566,493
182,435,454,517,566,493
183,434,458,526,569,494
184,433,457,526,569,494
185,429,467,528,561,488
186,430,448,530,580,494
187,438,462,527,559,491
188,447,452,514,575,505
189,435,459,528,570,495
190,435,458,528,570,494
191,435,459,529,570,489
192,438,467,534,569,491
193,454,461,523,565,504
194,427,450,520,576,493
195,441,462,529,573,499
196,433,458,526,569,494
197,433,458,525,569,493
198,426,457,526,571,491
199,422,458,530,574,488
200,439,467,533,560,489
201,424,467,527,567,491
202,431,467,523,562,496
203,435,459,527,569,495
204,436,459,528,570,495
205,434,464,534,576,492
206,435,470,521,558,493
207,434,456,529,578,494
208,430,459,534,578,486
209,435,460,527,569,493
210,432,458,526,569,494
211,432,458,525,568,494
212,435,456,523,569,483
213,433,448,513,572,505
214,419,462,536,568,491
215,435,453,516,575,505
216,434,460,528,569,495
217,436,460,528,570,495
218,435,468,530,567,496
219,437,464,529,568,491
220,443,464,520,566,498
221,435,462,522,570,500
222,428,462,531,563,491
223,434,459,527,569,494
224,433,458,526,569,494
225,439,458,524,575,500
226,425,455,529,566,486
227,429,460,532,571,489
228,430,452,520,575,498
229,440,463,528,570,495
230,436,460,528,570,495
231,436,460,531,570,496
232,448,467,539,575,487
233,422,446,528,568,491
234,430,459,531,584,499
235,443,466,525,554,496
236,435,458,529,569,495
237,435,458,528,569,494
238,435,458,526,569,496
239,443,466,538,561,490
240,448,459,513,564,500
241,430,458,539,558,494
242,438,462,537,567,491
243,436,459,530,570,495
244,435,459,531,570,496
245,433,454,527,570,497
246,428,450,533,566,493
247,425,454,535,575,496
248,441,459,532,579,495
249,430,454,521,569,495
250,434,458,530,568,494
251,434,458,529,567,494
252,428,467,537,563,484
253,439,469,532,559,490
254,433,458,525,564,492
255,435,454,522,579,494
256,436,460,530,569,495
257,435,459,530,570,495
258,436,460,530,573,493
259,446,455,514,561,503
260,442,454,521,575,493
261,445,464,535,558,492
262,439,463,531,559,493
263,435,459,530,569,494
264,434,458,529,568,494
265,433,459,523,570,502
266,436,457,532,560,491
267,441,457,521,565,498
268,423,458,538,562,487
269,440,457,525,573,495
270,435,459,529,569,495
271,435,459,530,570,496
272,424,459,535,574,505
273,446,464,538,577,493
274,441,467,522,561,487
275,420,452,533,575,485
276,433,459,526,569,495
277,433,458,525,569,494
278,435,458,524,569,494
279,429,475,531,563,485
280,433,463,524,563,491
281,410,454,529,581,488
282,437,463,521,560,495
283,435,459,528,570,495
284,435,460,532,571,496
285,435,460,533,569,498
286,443,462,530,560,491
287,432,449,526,576,499
288,445,457,521,566,491
289,445,466,529,571,499
290,435,459,530,568,494
291,435,459,530,568,494
292,436,455,521,565,494
293,435,465,522,560,498
294,435,461,531,569,497
295,427,452,535,581,490
296,443,460,530,570,495
297,438,460,531,570,496
298,439,461,530,570,495
299,435,467,541,579,488
300,426,457,542,572,491
301,441,462,534,569,492
302,451,462,529,568,500
303,437,459,530,569,494
304,436,459,529,568,494
305,437,461,530,567,493
306,427,448,530,571,493
307,435,462,528,564,495
308,437,456,530,567,496
309,434,464,524,564,495
310,438,461,528,567,498
311,440,460,529,569,496
312,439,457,523,569,495
313,444,460,518,566,500
314,430,456,535,577,495
315,437,449,531,572,494
316,442,453,528,569,495
317,438,459,527,568,494
318,438,459,527,568,494
319,446,456,520,564,496
320,447,456,531,573,489
321,428,458,533,578,496
322,431,465,536,566,488
323,440,459,527,569,495
324,441,459,528,570,496
325,440,461,531,571,494
326,431,462,532,565,489
327,434,458,534,568,490
328,431,454,531,573,489
329,436,452,534,577,493
330,438,459,529,568,495
331,438,459,529,568,494
332,443,461,530,578,496
333,444,454,528,572,495
334,427,461,532,575,494
335,428,453,519,573,496
336,446,465,524,570,494
337,441,461,523,570,494
338,441,461,525,571,494
339,438,459,535,581,493
340,419,459,536,572,500
341,420,451,539,580,499
342,434,464,524,569,493
343,439,460,526,568,493
344,438,459,525,568,493
345,438,460,526,572,491
346,443,450,520,572,496
347,439,464,525,573,497
348,430,454,532,573,495
349,455,456,519,565,494
350,439,461,528,571,494
351,440,461,529,569,494
352,441,462,537,571,500
353,445,460,526,573,496
354,435,464,532,570,494
355,435,457,527,564,486
356,428,457,527,569,494
357,438,460,527,568,493
358,438,460,526,568,493
359,447,462,518,565,496
360,443,445,528,573,491
361,444,461,513,569,500
362,439,458,530,570,498
363,439,461,529,570,494
364,439,460,529,570,494
365,439,461,527,570,490
366,447,465,522,568,499
367,445,461,526,569,502
368,450,468,529,559,501
369,438,452,534,577,492
370,438,459,529,568,493
371,438,459,528,568,493
372,435,463,523,573,491
373,425,454,530,570,487
374,446,459,520,567,497
375,429,451,522,571,491
376,437,460,529,569,494
377,440,460,530,569,494
378,440,462,531,570,494
379,447,470,540,572,483
380,449,455,524,574,489
381,429,450,533,574,494
382,429,466,533,571,495
383,437,460,528,568,494
384,438,459,528,568,493
385,446,459,526,573,498
386,449,465,519,567,495
387,451,454,527,567,496
388,439,466,520,571,498
389,445,474,531,569,495
390,441,460,528,569,494
391,440,461,530,569,495
392,432,455,523,562,496
393,433,461,543,570,484
394,439,453,517,578,504
395,445,459,534,575,493
396,436,459,526,569,493
397,437,458,525,568,492
398,434,458,524,566,494
399,433,455,515,560,495
400,425,446,526,578,493
401,440,464,519,570,494
402,447,456,517,575,495
403,438,459,529,569,495
404,438,460,529,570,495
405,437,462,529,569,493
406,447,463,523,565,502
407,436,458,529,572,497
408,429,468,536,566,482
409,441,465,523,568,494
410,438,459,526,569,494
411,437,460,526,568,493
412,449,466,521,563,489
413,428,465,532,565,496
414,435,454,525,576,502
415,446,453,510,571,503
416,440,461,526,570,494
417,440,460,528,570,495
418,441,461,526,565,498
419,449,456,520,566,492
420,443,470,541,566,488
421,442,459,523,575,497
422,435,458,532,569,486
423,440,461,524,569,495
424,439,460,526,568,494
425,447,457,520,568,489
426,436,459,527,573,482
427,439,464,523,560,495
428,434,462,524,559,485
429,432,466,524,569,495
430,441,461,523,569,495
431,443,463,524,569,495
432,445,463,520,568,490
433,439,473,532,569,498
434,450,472,532,557,487
435,460,475,520,560,498
436,440,461,525,568,494
437,440,461,525,568,494
438,441,461,523,571,494
439,447,472,518,563,492
440,430,461,528,571,488
441,429,452,521,576,485
442,425,455,534,567,494
443,442,462,527,569,495
444,442,462,527,569,496
445,438,463,531,572,499
446,444,467,534,564,491
447,460,468,527,560,491
448,433,467,533,561,488
449,432,454,526,568,496
450,440,461,526,568,494
451,440,461,526,568,494
452,432,454,519,567,505
453,428,464,541,577,488
454,445,446,517,564,502
455,438,468,535,564,489
456,441,462,527,569,495
457,442,462,526,569,496
458,442,462,531,572,496
459,452,468,530,573,498
460,428,454,533,578,498
461,436,457,530,571,490
462,448,468,521,574,502
463,440,461,526,568,495
464,440,460,524,569,494
465,434,456,525,562,493
466,440,459,520,569,500
467,441,464,532,569,489
468,438,466,515,559,497
469,452,462,527,570,495
470,441,462,526,569,495
471,442,463,526,569,496
472,427,457,533,572,498
473,441,461,532,574,488
474,444,463,524,565,493
475,435,451,519,570,501
476,440,461,526,568,495
477,440,461,525,568,495
478,441,461,522,570,497
479,446,465,528,560,492
480,450,458,527,573,493
481,440,460,529,572,490
482,439,463,536,571,490
483,442,462,525,570,496
484,442,462,526,570,496
485,441,464,527,571,497
486,436,466,529,572,497
487,463,463,515,562,498
488,447,468,519,558,497
489,437,464,526,569,495
490,440,461,524,569,494
491,439,461,525,568,494
492,434,462,532,568,494
493,453,467,513,567,503
494,445,458,516,560,500
495,444,464,529,562,496
496,442,462,526,570,496
497,442,462,525,570,496
498,442,462,521,569,496
499,445,448,513,575,500
500,430,468,534,569,495
501,440,452,519,572,496
502,456,457,520,570,492
503,442,461,524,569,495
504,441,461,523,567,494
505,442,460,522,567,495
506,444,464,515,570,501
507,444,453,522,568,497
508,451,458,518,568,500
509,435,463,523,569,496
510,440,462,524,569,496
511,439,463,525,570,497
512,430,459,525,579,502
513,431,458,532,569,489
514,449,466,522,560,491
515,443,467,523,577,497
516,440,461,523,568,495
517,439,461,523,568,495
518,439,462,524,565,494
519,434,470,536,566,491
520,433,454,527,577,496
521,450,472,524,562,490
522,431,465,525,569,498
523,441,463,524,569,496
524,442,463,525,570,496
525,444,464,518,567,492
526,443,468,535,570,489
527,445,470,529,560,490
528,423,467,532,573,492
529,434,454,522,568,495
530,441,462,523,568,495
531,441,461,522,568,495
532,450,459,514,566,501
533,424,464,530,570,485
534,444,464,524,559,492
535,440,464,511,555,497
536,443,463,523,569,496
537,443,463,523,569,496
538,442,462,524,567,496
539,434,463,522,563,490
540,457,459,514,564,503
541,440,455,513,572,497
542,447,471,522,569,499
543,441,462,523,568,495
544,440,462,522,567,494
545,442,458,522,572,492
546,433,459,528,559,486
547,445,454,516,567,497
548,433,467,536,561,490
549,434,460,521,569,495
550,442,463,523,569,496
551,442,463,525,570,496
552,452,470,521,566,490
553,427,455,535,571,495
554,456,466,517,560,492
555,454,458,505,565,499
556,442,463,521,568,494
557,442,462,521,568,495
558,440,462,521,569,493
559,428,456,528,567,493
560,441,464,526,561,490
561,437,468,526,565,493
562,433,453,531,574,494
563,444,463,523,569,495
564,443,463,523,569,496
565,442,466,524,570,497
566,438,463,523,560,490
567,440,468,523,564,491
568,449,465,521,564,503
569,444,468,524,566,495
570,441,462,521,567,494
571,441,461,520,567,495
572,445,459,519,583,493
573,454,472,513,567,498
574,438,454,517,573,507
575,443,459,518,569,487
576,443,463,523,569,496
577,443,463,522,569,496
578,444,463,523,569,498
579,442,464,533,573,497
580,450,457,514,572,499
581,436,458,533,577,498
582,452,452,523,575,500
583,442,463,522,568,495
584,441,462,522,568,495
585,442,466,520,575,494
586,432,456,519,567,485
587,444,456,519,575,500
588,436,464,529,558,488
589,452,459,517,571,498
590,442,463,522,569,495
591,444,463,523,569,496
592,441,464,517,573,502
593,455,467,519,562,503
594,436,461,530,575,494
595,439,471,531,568,484
596,446,462,522,568,494
597,441,463,521,567,494
598,441,462,520,567,495
599,453,457,508,564,493
600,438,452,523,575,491
601,437,461,523,573,485
602,460,467,519,566,496
603,443,463,522,570,496
604,443,464,523,570,496
605,443,465,519,570,496
606,428,460,522,566,495
607,450,460,516,562,501
608,443,458,523,566,496
609,435,467,528,566,501
610,442,463,522,568,495
611,441,462,521,567,495
612,439,465,523,566,503
613,449,460,519,572,492
614,451,466,514,562,494
615,429,468,538,569,495
616,433,466,520,568,495
617,444,463,521,570,496
618,444,464,522,569,496
619,431,460,530,572,499
620,443,465,516,565,504
621,451,460,513,561,499
622,455,472,528,568,495
623,442,463,521,568,495
624,442,462,520,568,495
625,440,462,520,568,492
626,436,459,518,574,487
627,454,469,514,566,497
628,447,451,513,570,504
629,435,463,525,574,494
630,442,464,522,569,496
631,444,463,522,570,496
632,446,461,524,570,494
633,458,474,522,563,500
634,459,462,512,565,501
635,435,452,524,571,495
636,445,476,527,563,496
637,442,463,520,568,495
638,442,462,519,567,495
639,439,460,523,569,491
640,444,467,510,569,503
641,444,460,515,573,503
642,439,458,516,574,489
643,441,455,523,569,495
644,443,463,521,569,496
645,444,464,521,570,496
646,453,471,516,574,498
647,447,464,513,561,506
648,453,464,510,558,505
649,440,449,520,575,503
650,441,463,520,568,495
651,441,463,520,568,495
652,441,462,519,567,497
653,448,464,519,573,499
654,440,453,521,583,501
655,444,467,528,564,494
656,444,462,523,570,497
657,443,464,521,569,496
658,443,463,521,569,496
659,445,464,524,568,491
660,424,457,521,572,498
661,439,459,525,577,493
662,439,459,527,570,499
663,449,472,513,564,499
664,442,463,519,568,495
665,442,462,518,568,495
666,438,469,513,572,491
667,448,467,522,556,491
668,449,452,514,563,501
669,454,459,515,563,501
670,448,471,516,562,504
671,443,463,520,569,497
672,443,464,520,570,496
673,442,460,525,570,499
674,446,466,510,564,504
675,433,463,528,573,495
676,432,464,528,572,494
677,438,465,528,569,496
678,442,463,518,568,496
679,441,462,518,568,496
680,440,460,517,562,491
681,433,453,504,568,495
682,448,469,521,559,491
683,447,463,522,570,488
684,434,463,519,569,496
685,444,464,520,569,497
686,443,464,520,569,497
687,451,462,523,572,496
688,443,458,521,581,499
689,443,462,520,571,496
